net,length_um
la_data_out[99],72.57
la_oenb[99],72.57
la_oenb[98],72.55
io_oeb[33],72.18
la_data_in[1],72.11
la_oenb[0],71.75
la_data_in[99],71.65
wbs_dat_o[31],71.65
la_data_in[96],71.24
la_data_in[98],70.73
la_data_out[98],70.73
la_data_in[3],70.71
la_data_in[97],70.71
la_data_out[3],70.27
la_data_out[1],69.81
la_oenb[1],69.35
la_data_in[4],69.11
la_data_in[2],68.89
la_oenb[93],68.87
la_data_out[2],68.43
la_oenb[2],68.43
la_oenb[3],68.41
la_oenb[95],67.97
la_oenb[94],66.59
la_data_out[5],66.23
la_data_out[4],66.13
la_data_out[94],66.13
la_oenb[92],66.11
la_data_in[5],65.67
la_data_in[94],65.67
la_oenb[4],65.67
io_out[33],65.38
la_data_out[93],65.21
la_data_in[93],64.75
la_oenb[5],64.75
la_data_in[6],64.29
la_data_in[91],63.93
la_data_out[6],63.83
la_data_out[92],63.83
la_data_in[7],63.37
la_data_in[92],63.37
la_oenb[6],63.37
la_data_out[7],62.91
la_data_out[91],62.91
la_oenb[91],62.91
la_oenb[7],62.45
la_data_out[11],62.41
la_data_in[8],61.99
la_oenb[90],61.99
la_data_out[87],61.93
la_oenb[11],61.93
la_data_out[8],61.53
la_data_out[90],61.53
la_oenb[9],61.51
la_data_in[90],61.07
la_oenb[8],61.07
la_data_in[9],60.61
la_data_out[89],60.61
la_data_out[9],60.61
la_oenb[89],60.61
la_oenb[88],60.37
la_data_in[89],60.15
la_data_in[86],60.13
la_data_in[10],59.69
la_data_out[86],59.65
la_data_out[10],59.23
la_data_out[88],59.23
la_data_in[88],58.77
la_oenb[10],58.77
la_oenb[87],58.77
la_data_in[11],58.31
la_data_in[87],57.85
la_data_in[12],57.39
la_oenb[86],57.39
la_data_out[12],56.93
la_oenb[12],56.47
la_data_in[13],56.01
la_oenb[85],56.01
la_data_in[14],55.55
la_data_out[13],55.55
la_data_out[85],55.55
la_oenb[13],55.55
la_oenb[83],55.55
la_data_in[85],55.09
la_data_out[84],55.09
la_oenb[84],55.09
la_oenb[14],54.85
la_data_in[16],54.63
la_data_out[14],54.63
la_data_in[84],54.17
la_data_in[15],53.71
la_data_out[15],53.25
la_data_out[83],53.25
la_data_in[83],52.79
la_oenb[15],52.79
la_oenb[82],52.79
la_oenb[81],52.77
la_data_out[16],52.33
la_data_out[82],52.33
la_data_in[82],51.87
la_oenb[16],51.87
la_data_in[81],51.63
la_data_in[17],51.41
la_oenb[17],51.17
la_data_out[17],50.95
la_data_out[81],50.95
la_data_in[18],50.03
la_data_out[18],50.03
la_data_out[80],50.03
la_oenb[80],50.03
la_data_out[78],49.99
la_data_in[80],49.57
la_oenb[18],49.57
la_data_in[19],49.11
la_data_out[79],49.11
la_oenb[79],49.11
la_data_in[74],49.01
la_data_out[19],48.65
la_data_in[20],48.41
la_data_in[79],48.19
la_oenb[19],48.19
la_data_out[20],47.73
la_oenb[78],47.73
la_data_in[78],47.27
la_oenb[20],47.27
la_data_in[77],47.25
la_data_in[21],46.81
la_oenb[77],46.81
la_oenb[76],46.79
la_data_out[21],46.35
la_data_out[77],46.35
la_data_out[76],46.33
la_oenb[21],45.89
la_oenb[75],45.53
la_data_in[22],45.43
la_data_out[22],44.97
la_oenb[22],44.97
la_data_in[23],44.51
la_data_in[76],44.51
la_data_out[23],44.05
la_data_out[75],44.05
la_data_in[24],43.59
la_data_in[75],43.59
la_oenb[23],43.59
la_oenb[73],43.57
la_oenb[74],43.13
la_data_out[24],42.67
la_data_out[74],42.67
la_data_in[73],42.65
la_data_in[25],42.21
la_oenb[24],42.21
la_data_out[25],41.75
la_data_out[73],41.75
la_oenb[25],41.29
la_data_in[26],40.83
la_oenb[72],40.83
la_data_out[71],40.81
la_oenb[71],40.81
la_data_in[71],40.44
la_data_out[26],40.37
la_data_out[72],40.37
la_data_in[27],39.91
la_data_in[72],39.91
la_oenb[26],39.91
la_data_out[27],39.45
la_oenb[27],38.99
la_data_in[28],38.53
la_oenb[70],38.53
la_data_out[28],38.07
la_data_out[70],38.07
la_data_in[69],38.05
la_data_in[70],37.61
la_oenb[28],37.61
la_data_in[29],37.15
la_data_out[29],37.15
la_oenb[69],37.15
la_data_out[69],36.69
la_oenb[29],36.69
la_data_in[68],36.67
la_data_in[30],36.23
la_oenb[68],36.23
la_oenb[67],35.87
la_data_out[30],35.77
la_data_out[68],35.77
la_oenb[30],35.31
la_data_in[31],34.85
la_data_in[67],34.39
la_data_out[31],34.39
la_data_out[67],34.39
la_oenb[31],34.39
la_data_in[66],34.37
la_data_in[32],33.93
la_oenb[66],33.93
la_data_out[32],33.47
la_data_out[66],33.47
la_oenb[32],33.01
la_data_in[65],32.99
la_data_in[33],32.55
la_oenb[65],32.55
la_data_out[33],32.09
la_data_out[65],32.09
la_oenb[33],32.09
la_oenb[64],31.97
la_data_in[34],31.63
la_data_out[34],31.17
la_data_out[64],31.17
la_data_in[64],30.71
la_oenb[34],30.71
la_data_in[35],30.25
la_oenb[63],30.25
la_data_out[35],29.79
la_data_out[63],29.79
la_data_in[36],29.33
la_data_in[63],29.33
la_oenb[35],29.33
la_data_out[36],28.87
la_data_out[62],28.87
la_oenb[62],28.87
la_data_in[62],28.41
la_oenb[36],28.41
la_data_in[37],27.95
la_oenb[61],27.95
la_data_in[61],27.49
